time,left_force_x,left_force_y,left_force_z,left_torque_x,left_torque_y,left_torque_z,right_force_x,right_force_y,right_force_z,right_torque_x,right_torque_y,right_torque_z
0.19,-30.70334625,1.04839516,375.32519531,-35.26634979,-6.90251541,-2.71278477,30.32971191,-1.66409945,381.04064941,-31.63358688,47.37384796,3.03461766
0.19999999,-30.81768417,0.04025888,375.3888855,-35.26634979,-6.90251541,-2.74505949,30.77957153,-2.55688119,381.1491394,-31.63358688,47.37384796,2.94736028
0.20999999,-30.95052719,2.13796949,375.29992676,-35.26634979,-6.90251541,-3.0023942,31.30649376,-1.91812921,381.19372559,-31.63358688,47.37384796,3.24986339
0.22,-31.35283279,1.53435349,375.43597412,-35.26634979,-6.90251541,-3.01192141,30.27033043,-2.13557935,381.68026733,-31.72909927,47.27378464,3.23937869
0.22999999,-30.85100555,1.80443072,375.99581909,-35.36128235,-6.80395889,-2.68267202,30.68144035,-2.85701394,382.03302002,-31.82302475,47.37137604,3.27393746
0.23999999,-30.32629776,0.85806346,376.02297974,-35.36128235,-6.80395889,-2.15488601,30.75848198,-2.35224557,381.54754639,-31.72751236,47.47143936,2.75286388
0.25,-31.09352493,1.1948328,376.99273682,-35.35818481,-6.80288696,-2.97868776,30.83691216,-2.02034259,381.58883667,-31.72751236,47.47143936,3.07752156
0.25999999,-30.955616,1.39536953,375.38052368,-35.26634979,-6.90251541,-2.94035006,31.41928101,-2.53838706,381.66314697,-31.72751236,47.47143936,3.37584186
0.26999998,-30.97538757,1.02715468,375.45391846,-35.26634979,-6.90251541,-2.71205425,30.04546928,-3.12364697,381.60125732,-31.53749466,47.47297668,3.18169808
0.28,-31.31763077,0.53972244,375.85049438,-35.17424774,-6.80466461,-2.81134224,29.8862915,-1.80712438,381.11199951,-31.63358688,47.37384796,3.244807
0.28999999,-31.85459137,2.06005859,375.84246826,-35.17256165,-7.00141525,-2.74593568,30.57032013,-2.17201257,381.62866211,-31.53749466,47.47297668,3.11256576
0.29999998,-32.09236145,2.15738606,374.7911377,-34.98352432,-6.6068573,-2.84425735,30.96065521,-1.96992373,381.63598633,-31.53908157,47.27532578,3.23977685
0.31,-30.57099915,1.88259959,375.37307739,-35.07931519,-6.90322113,-2.70696998,30.69012642,-2.04710698,380.93609619,-31.44356918,47.3753891,3.30046034
0.31999999,-30.1653862,1.79893684,375.92883301,-34.98297501,-6.80395508,-2.57302642,30.56443024,-2.80426812,381.57049561,-31.34975433,47.27586365,2.81870794
0.32999998,-31.32262421,2.40601349,374.82962036,-34.98352432,-6.6068573,-2.64168644,30.28562546,-1.46520972,381.60076904,-31.34975433,47.27586365,3.24193287
0.34,-30.95549774,2.25857711,375.39205933,-34.88973236,-6.70575714,-2.64287543,30.37836838,-2.09689164,380.51324463,-31.34963989,47.2777977,3.30876708
0.34999999,-31.20072556,2.02281404,375.43951416,-34.88973236,-6.70575714,-2.64216185,30.06468964,-1.93313003,381.08007813,-31.25582504,47.17827606,3.05309129
0.35999998,-31.4416008,1.53816915,375.33575439,-34.88973236,-6.70575714,-2.71031523,30.16095161,-2.6367352,382.0909729,-31.44526291,47.17580414,3.07789159
0.37,-30.95791245,2.10031724,374.94039917,-34.98352432,-6.6068573,-3.07258511,30.08478928,-2.39367223,381.55578613,-31.34975433,47.27586365,2.84491062
0.38,-31.82287216,2.5143702,375.2789917,-34.88973236,-6.70575714,-2.80266523,30.84042549,-1.18636537,381.61419678,-31.34975433,47.27586365,2.91216159
0.38999999,-31.34511185,1.47610259,375.00469971,-34.98352432,-6.6068573,-2.32629037,30.83729744,-1.82163072,381.53634644,-31.34975433,47.27586365,2.8745513
0.39999998,-32.2324295,2.04936099,376.43878174,-34.88663483,-6.70468521,-2.91004491,30.4899044,-1.40370297,382.0335083,-31.44298935,47.3744545,3.33709216
