hrv
0.688
0.663
0.667
0.69
0.718
0.682
0.669
0.651
0.649
0.646
0.633
0.632
0.621
0.625
0.619
0.616
0.627
0.633
0.639
0.665
0.683
0.693
0.721
0.731
0.742
0.738
0.72
0.701
0.688
0.68
0.674
0.654
0.666
0.673
0.64
0.633
0.617
0.629
0.625
0.631
0.635
0.628
0.647
0.649
0.658
0.649
0.653
0.66
0.651
0.652
0.648
0.647
0.658
0.65
0.649
0.66
0.661
0.663
0.681
0.69
0.688
0.691
0.711
0.715
0.695
0.695
0.699
0.695
0.68
0.674
0.69
0.723
0.793
0.836
0.844
0.825
0.801
0.773
0.732
0.7
0.677
0.653
0.64
0.633
0.633
0.627
0.63
0.633
0.638
0.635
0.642
